Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Time 7,Time 8,Time 9,Time 10,Time 11,Time 12,Time 13,Time 14,Time 15,Time 16,Time 17,Time 18,Time 19,Time 20,Time 21,Time 22,Time 23,Time 24,Time 25,Time 26,Time 27,Time 28,Time 29,Time 30,Time 31,Time 32,Time 33,Time 34,Time 35,Time 36,Time 37,Time 38,Time 39,Time 40,Time 41,Time 42,Time 43,Time 44,Time 45,Time 46,Time 47,Time 48,Time 49,Time 50,Time 51,Time 52,Time 53,Time 54,Time 55,Time 56,Time 57,Time 58,Time 59,Time 60,Time 61,Time 62,Time 63,Time 64,Time 65,Time 66,Time 67,Time 68,Time 69,Time 70,Time 71,Time 72,Time 73,Time 74,Time 75,Time 76,Time 77,Time 78,Time 79,Time 80,Time 81,Time 82,Time 83,Time 84,Time 85,Time 86,Time 87,Time 88,Time 89,Time 90,Time 91,Time 92,Time 93,Time 94,Time 95,Time 96,Time 97,Time 98,Time 99,Time 100,Time 101
-10,-9.8,-9.6,-9.4,-9.2,-9,-8.8,-8.6,-8.4,-8.2,-8,-7.8,-7.6,-7.4,-7.2,-7,-6.8,-6.6,-6.4,-6.2,-6,-5.8,-5.6,-5.4,-5.2,-5,-4.8,-4.6,-4.4,-4.2,-4,-3.8,-3.6,-3.4,-3.2,-3,-2.8,-2.6,-2.4,-2.2,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,-4.08562E-14,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,10
0,0.001065114,0.002496752,0.004385699,0.00684158,0.009996194,0.014007323,0.01906305,0.025386621,0.033241871,0.042939216,0.054842207,0.06937458,0.087027723,0.108368423,0.134046649,0.164803081,0.201475948,0.245006589,0.296442992,0.356940313,0.427757155,0.510246027,0.605836101,0.716005929,0.842243375,0.985989534,1.14856296,1.331060083,1.534227456,1.758301333,2.002810463,2.266338835,2.546247005,2.838353787,3.136585307,3.432606415,3.715461477,3.971269123,4.183040834,4.330729064,4.391660862,4.341582723,4.156638424,3.816733053,3.310914971,2.645648941,1.857178577,1.029611591,0.320942455,1.66923E-26,0.334042147,1.115412557,2.094265203,3.1057618,4.046673853,4.85766025,5.509962562,5.995518998,6.319707094,6.496093595,6.542704895,6.479439096,6.326326298,6.102411405,5.825086999,5.509745587,5.16965301,4.815970024,4.457868449,4.102703111,3.756212047,3.422725928,3.105373928,2.806277906,2.526730125,2.267352109,2.028233904,1.809054096,1.609181678,1.427761254,1.263783281,1.116141129,0.983676686,0.865216176,0.759597677,0.665691743,0.582416301,0.508746916,0.443723315,0.386452947,0.33611225,0.291946146,0.25326624,0.219448064,0.189927688,0.164197919,0.14180427,0.122340855,0.105446318,0.09079986
